Times,FERTILES,ESTERILES
1,2,3
2,1,9
3,6,7
4,3,5
5,10,4
6,7,7
7,12,762
8,6,762
9,2,7
10,9,2352
11,11,5
12,8,2
13,9,3379
14,4,3
15,9,2353
16,13,758
17,8,2
18,4,763
19,10,2352
20,22,960
21,28,1360
22,140,10
23,288,1
24,452,9
25,724,8
26,625,4
27,1076,9
28,1569,8
29,2310,3
30,3084,3
31,2175,7
32,2236,3
33,2045,3
34,3222,1
35,5306,2
36,2927,3
37,8433,8
38,7167,2
39,5143,6
40,4442,7
41,5910,6
42,4905,1
43,3451,5
44,2089,3
45,257,2
46,2165,6
47,533,1
48,402,2
49,143,4
50,27,799
51,44,22
52,231,8
